Точка маршрута,Рейс 1,Рейс 2,Рейс 3,Рейс 4
28-29-Я ЛИНИИ,07:12:10,07:28:30,07:42:40,07:56:10
22-23-Я ЛИНИИ,07:13:10,07:29:30,07:43:40,07:57:00
МУЗЕЙ ГОРОДСКОГО ТРАНСПОРТА,07:15:30,07:31:40,07:45:40,07:59:10
12-13-Я ЛИНИИ,07:17:40,07:33:20,07:47:50,08:00:50
"МЕТРО ""ВАСИЛЕОСТРОВСКАЯ""",07:19:50,07:35:50,07:50:10,08:03:20
1-Я И КАДЕТСКАЯ ЛИНИИ,07:21:10,00:00:00,07:51:30,08:04:50
"1-Я И КАДЕТСКАЯ ЛИНИИ. МЕТРО ""СПОРТИВНАЯ""",07:22:40,00:00:00,07:53:00,08:06:00
"МЕТРО ""СПОРТИВНАЯ""",07:24:20,00:00:00,07:54:40,08:07:00
КРОНВЕРКСКИЙ ПРОСПЕКТ,07:26:00,00:00:00,07:55:50,08:08:00
ЗВЕРИНСКАЯ УЛ.,07:27:40,00:00:00,07:57:00,08:09:20
ВВЕДЕНСКАЯ УЛ.,07:28:40,07:43:50,07:58:10,08:11:00
СЫТНЫЙ РЫНОК,07:29:40,07:45:20,07:59:50,08:12:00
"МЕТРО ""ГОРЬКОВСКАЯ""",07:31:00,07:46:30,08:01:10,08:13:30
ТРОИЦКАЯ ПЛ. П.С.,07:32:30,07:48:00,08:02:30,08:15:10
УЛИЦА ЧАПАЕВА,07:34:10,07:49:40,08:03:50,08:16:10
